"student_id","cstate_1","cstate_2","cstate_3","cstate_4","cstate_5","cstate_6","cstate_7","cstate_8","cstate_9","cstate_10","cstate_11","cstate_12","cstate_13","cstate_14","cstate_15","cstate_16","cstate_17","cstate_18","cstate_19","cstate_20","cstate_21","cstate_22","cstate_23","cstate_24","cstate_25","cstate_26","cstate_27","cstate_28"
"STU000022","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only"
"STU000023","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither"
"STU000024","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_Work","4YR_Work","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000025","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000026","Work_Only","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","Work_Only","Work_Only","CTC_Work","CTC_NoWork","CTC_NoWork","Work_Only","Neither","Work_Only","Neither","Neither","Neither","Work_Only","Neither","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000027","Neither","Neither","Neither","Neither","CTC_Work","CTC_NoWork","CTC_Work","CTC_Work","Work_Only","Work_Only","Work_Only","CTC_Work","CTC_Work","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","4YR_Work","Work_Only","Neither","Neither","Neither","Work_Only","Neither","Neither","Neither","Neither","Neither"
"STU000028","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000029","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Neither","Work_Only","Neither","Work_Only","Neither","Neither"
"STU000030","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_NoWork","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000031","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only"
"STU000032","Work_Only","CTC_Work","CTC_NoWork","CTC_NoWork","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither"
"STU000033","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Neither","Neither","Work_Only","Neither","Neither","Neither","Neither"
"STU000034","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Work_Only"
"STU000035","Neither","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000036","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only"
"STU000037","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Neither","Neither"
"STU000038","Work_Only","Work_Only","Neither","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Neither","Neither","Work_Only"
"STU000039","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000040","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only"
"STU000041","Work_Only","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","Work_Only","Neither","Neither","Work_Only","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Work_Only","Work_Only"
"STU000042","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","Work_Only","4YR_NoWork","4YR_Work","Work_Only","Neither","Neither","Neither","Work_Only","Neither","Neither","Work_Only","Neither","Neither","Work_Only","Neither","Neither","Neither"
"STU000043","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000044","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","CTC_NoWork","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only"
"STU000045","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only"
"STU000046","Work_Only","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Neither","Neither","Neither"
"STU000047","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000048","Work_Only","CTC_Work","CTC_Work","4YR_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_Work","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000049","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000050","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_Work","Work_Only","CTC_Work","CTC_Work","CTC_NoWork","4YR_NoWork","4YR_Work","CTC_Work","4YR_Work","Neither","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000051","Neither","Neither","Neither","Neither","CTC_Work","CTC_Work","CTC_NoWork","Neither","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000052","Neither","CTC_NoWork","CTC_Work","CTC_Work","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000053","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Neither"
"STU000054","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_Work","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only"
"STU000055","Work_Only","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000056","CTC_NoWork","CTC_NoWork","4YR_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_NoWork","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither"
"STU000057","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000058","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","CTC_Work","4YR_NoWork","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000059","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_NoWork","CTC_NoWork","4YR_NoWork","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Neither","Neither"
"STU000060","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000061","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000062","Neither","Neither","Neither","Neither","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Neither","Neither","Work_Only","CTC_Work","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither"
"STU000063","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither"
"STU000064","Neither","Neither","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","Work_Only","CTC_Work","CTC_Work","CTC_Work","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000065","Work_Only","CTC_Work","CTC_Work","Work_Only","Work_Only","CTC_Work","CTC_Work","CTC_Work","CTC_NoWork","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000066","Neither","Neither","Neither","Neither","CTC_Work","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","Work_Only","Work_Only","Work_Only","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000067","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Neither","Neither"
"STU000068","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","Work_Only","CTC_Work","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only"
"STU000069","Neither","4YR_NoWork","4YR_Work","4YR_Work","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","4YR_Work","CTC_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Work_Only","Work_Only","Work_Only"
"STU000070","CTC_NoWork","CTC_NoWork","4YR_NoWork","4YR_NoWork","Neither","CTC_NoWork","CTC_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","4YR_NoWork","Neither","4YR_NoWork","Neither","4YR_NoWork","4YR_NoWork","Neither","Neither","4YR_NoWork","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000071","Neither","Neither","4YR_NoWork","4YR_NoWork","4YR_Work","4YR_Work","4YR_Work","4YR_NoWork","4YR_Work","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither"
"STU000072","CTC_Work","CTC_NoWork","4YR_Work","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","Neither","Neither","Neither","Neither","Neither","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Work_Only","Neither","Work_Only","Neither","Neither","Neither"
"STU000073","CTC_Work","CTC_NoWork","Work_Only","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","Neither","CTC_NoWork","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only"
"STU000074","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Neither"
"STU000075","Work_Only","CTC_NoWork","CTC_Work","CTC_Work","CTC_Work","CTC_Work","CTC_Work","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither"
"STU000076","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","CTC_NoWork","CTC_NoWork","CTC_NoWork","CTC_Work","4YR_Work","Work_Only","4YR_Work","4YR_Work","4YR_Work","4YR_Work","4YR_Work","Neither","Neither","Work_Only","Work_Only","Work_Only","Work_Only","Work_Only","Neither","Neither","Work_Only","Work_Only"
