"student_id","credential_type","term_number","term_label"
"STU000292","Bachelor",17,"2021Q1"
"STU000295","Associate",17,"2021Q1"
"STU000296","Associate",9,"2019Q1"
"STU000300","Bachelor",19,"2021Q3"
"STU000302","Certificate",7,"2018Q3"
"STU000304","Certificate",6,"2018Q2"
"STU000304","Associate",9,"2019Q1"
"STU000308","Bachelor",7,"2018Q3"
"STU000317","Bachelor",27,"2023Q3"
"STU000318","Certificate",5,"2018Q1"
"STU000319","Bachelor",16,"2020Q4"
"STU000320","Certificate",5,"2018Q1"
"STU000322","Bachelor",18,"2021Q2"
"STU000324","Bachelor",11,"2019Q3"
"STU000325","Associate",15,"2020Q3"
"STU000326","Associate",9,"2019Q1"
"STU000326","Bachelor",18,"2021Q2"
"STU000327","Bachelor",16,"2020Q4"
"STU000328","Bachelor",17,"2021Q1"
"STU000331","Bachelor",15,"2020Q3"
"STU000333","Associate",14,"2020Q2"
"STU000336","Certificate",6,"2018Q2"
"STU000336","Associate",10,"2019Q2"
"STU000339","Associate",9,"2019Q1"
"STU000344","Associate",8,"2018Q4"
"STU000346","Bachelor",17,"2021Q1"
"STU000348","Bachelor",22,"2022Q2"
"STU000352","Bachelor",19,"2021Q3"
"STU000355","Certificate",5,"2018Q1"
"STU000358","Associate",13,"2020Q1"
"STU000359","Bachelor",15,"2020Q3"
"STU000360","Associate",9,"2019Q1"
"STU000366","Associate",8,"2018Q4"
"STU000370","Associate",7,"2018Q3"
"STU000377","Bachelor",15,"2020Q3"
"STU000379","Associate",16,"2020Q4"
"STU000379","Bachelor",20,"2021Q4"
"STU000382","Certificate",4,"2017Q4"
"STU000383","Bachelor",15,"2020Q3"
"STU000386","Associate",4,"2017Q4"
"STU000387","Certificate",7,"2018Q3"
"STU000390","Bachelor",20,"2021Q4"
"STU000391","Bachelor",28,"2023Q4"
"STU000392","Bachelor",15,"2020Q3"
"STU000394","Bachelor",15,"2020Q3"
"STU000396","Certificate",6,"2018Q2"
"STU000408","Bachelor",17,"2021Q1"
"STU000410","Bachelor",15,"2020Q3"
"STU000414","Certificate",5,"2018Q1"
"STU000415","Associate",4,"2017Q4"
"STU000417","Associate",14,"2020Q2"
"STU000419","Associate",15,"2020Q3"
"STU000420","Bachelor",10,"2019Q2"
"STU000423","Certificate",7,"2018Q3"
"STU000423","Associate",11,"2019Q3"
"STU000425","Bachelor",18,"2021Q2"
"STU000432","Bachelor",17,"2021Q1"
"STU000433","Certificate",4,"2017Q4"
"STU000435","Bachelor",22,"2022Q2"
"STU000439","Bachelor",18,"2021Q2"
"STU000441","Certificate",6,"2018Q2"
"STU000441","Associate",10,"2019Q2"
"STU000442","Bachelor",23,"2022Q3"
"STU000449","Associate",9,"2019Q1"
"STU000449","Bachelor",18,"2021Q2"
"STU000453","Bachelor",15,"2020Q3"
"STU000461","Certificate",6,"2018Q2"
"STU000467","Bachelor",25,"2023Q1"
"STU000468","Associate",7,"2018Q3"
"STU000471","Certificate",6,"2018Q2"
"STU000471","Associate",10,"2019Q2"
"STU000477","Bachelor",19,"2021Q3"
"STU000480","Certificate",6,"2018Q2"
"STU000480","Associate",11,"2019Q3"
"STU000482","Associate",19,"2021Q3"
"STU000487","Bachelor",15,"2020Q3"
"STU000489","Bachelor",20,"2021Q4"
"STU000490","Bachelor",16,"2020Q4"
"STU000491","Certificate",5,"2018Q1"
"STU000491","Associate",9,"2019Q1"
"STU000492","Bachelor",21,"2022Q1"
"STU000493","Associate",3,"2017Q3"
"STU000494","Bachelor",17,"2021Q1"
"STU000498","Bachelor",29,NA
"STU000499","Bachelor",29,NA
"STU000500","Bachelor",20,"2021Q4"
"STU000506","Bachelor",11,"2019Q3"
"STU000508","Bachelor",29,NA
"STU000509","Associate",9,"2019Q1"
"STU000509","Bachelor",21,"2022Q1"
"STU000513","Bachelor",28,"2023Q4"
"STU000514","Associate",9,"2019Q1"
"STU000515","Associate",7,"2018Q3"
"STU000517","Certificate",6,"2018Q2"
"STU000522","Certificate",6,"2018Q2"
"STU000522","Associate",11,"2019Q3"
"STU000523","Associate",8,"2018Q4"
"STU000529","Bachelor",27,"2023Q3"
"STU000530","Associate",13,"2020Q1"
"STU000532","Associate",4,"2017Q4"
"STU000533","Bachelor",17,"2021Q1"
"STU000535","Bachelor",15,"2020Q3"
"STU000537","Associate",20,"2021Q4"
"STU000537","Bachelor",18,"2021Q2"
"STU000538","Bachelor",14,"2020Q2"
"STU000540","Bachelor",17,"2021Q1"
"STU000541","Bachelor",16,"2020Q4"
"STU000542","Certificate",7,"2018Q3"
"STU000543","Associate",9,"2019Q1"
"STU000543","Bachelor",18,"2021Q2"
"STU000545","Bachelor",19,"2021Q3"
"STU000546","Bachelor",16,"2020Q4"
"STU000548","Bachelor",16,"2020Q4"
"STU000560","Associate",14,"2020Q2"
"STU000560","Bachelor",19,"2021Q3"
"STU000563","Bachelor",16,"2020Q4"
"STU000565","Certificate",6,"2018Q2"
"STU000565","Associate",11,"2019Q3"
"STU000566","Associate",8,"2018Q4"
"STU000571","Bachelor",16,"2020Q4"
"STU000573","Bachelor",27,"2023Q3"
"STU000576","Associate",8,"2018Q4"
"STU000577","Bachelor",16,"2020Q4"
"STU000578","Bachelor",29,NA
"STU000583","Bachelor",20,"2021Q4"
"STU000588","Bachelor",9,"2019Q1"
"STU000592","Bachelor",14,"2020Q2"
"STU000593","Bachelor",17,"2021Q1"
"STU000595","Bachelor",17,"2021Q1"
"STU000597","Certificate",5,"2018Q1"
"STU000600","Associate",7,"2018Q3"
"STU000606","Associate",2,"2017Q2"
"STU000607","Bachelor",23,"2022Q3"
"STU000610","Bachelor",17,"2021Q1"
"STU000611","Bachelor",17,"2021Q1"
"STU000612","Associate",9,"2019Q1"
"STU000614","Bachelor",15,"2020Q3"
"STU000616","Certificate",5,"2018Q1"
"STU000626","Certificate",5,"2018Q1"
"STU000626","Associate",8,"2018Q4"
"STU000630","Associate",14,"2020Q2"
"STU000630","Bachelor",19,"2021Q3"
"STU000631","Bachelor",17,"2021Q1"
"STU000632","Associate",9,"2019Q1"
"STU000632","Bachelor",19,"2021Q3"
"STU000634","Bachelor",17,"2021Q1"
"STU000641","Certificate",5,"2018Q1"
"STU000641","Associate",9,"2019Q1"
"STU000642","Bachelor",17,"2021Q1"
"STU000647","Associate",18,"2021Q2"
"STU000652","Associate",7,"2018Q3"
"STU000655","Bachelor",15,"2020Q3"
"STU000660","Associate",10,"2019Q2"
"STU000665","Associate",8,"2018Q4"
"STU000667","Bachelor",16,"2020Q4"
"STU000668","Bachelor",20,"2021Q4"
"STU000670","Certificate",5,"2018Q1"
"STU000670","Associate",9,"2019Q1"
"STU000671","Bachelor",16,"2020Q4"
"STU000673","Bachelor",15,"2020Q3"
"STU000675","Certificate",5,"2018Q1"
"STU000675","Associate",8,"2018Q4"
"STU000677","Bachelor",16,"2020Q4"
"STU000681","Certificate",5,"2018Q1"
"STU000681","Associate",9,"2019Q1"
"STU000683","Bachelor",16,"2020Q4"
"STU000684","Associate",9,"2019Q1"
"STU000685","Bachelor",26,"2023Q2"
"STU000687","Certificate",4,"2017Q4"
"STU000687","Associate",7,"2018Q3"
"STU000688","Associate",2,"2017Q2"
"STU000690","Associate",2,"2017Q2"
"STU000691","Associate",8,"2018Q4"
"STU000694","Bachelor",24,"2022Q4"
"STU000696","Certificate",5,"2018Q1"
"STU000696","Associate",11,"2019Q3"
"STU000701","Bachelor",16,"2020Q4"
"STU000705","Bachelor",28,"2023Q4"
"STU000708","Associate",7,"2018Q3"
"STU000708","Bachelor",20,"2021Q4"
"STU000711","Bachelor",17,"2021Q1"
"STU000713","Bachelor",15,"2020Q3"
"STU000714","Bachelor",17,"2021Q1"
"STU000715","Bachelor",17,"2021Q1"
"STU000719","Bachelor",28,"2023Q4"
"STU000721","Bachelor",16,"2020Q4"
"STU000724","Bachelor",16,"2020Q4"
"STU000727","Bachelor",17,"2021Q1"
"STU000728","Bachelor",19,"2021Q3"
"STU000729","Associate",18,"2021Q2"
"STU000730","Bachelor",16,"2020Q4"
"STU000733","Bachelor",9,"2019Q1"
"STU000742","Bachelor",27,"2023Q3"
"STU000745","Bachelor",20,"2021Q4"
"STU000750","Associate",8,"2018Q4"
"STU000753","Associate",9,"2019Q1"
"STU000754","Associate",9,"2019Q1"
"STU000756","Associate",18,"2021Q2"
"STU000764","Associate",9,"2019Q1"
"STU000767","Associate",8,"2018Q4"
"STU000770","Bachelor",15,"2020Q3"
"STU000776","Bachelor",17,"2021Q1"
"STU000780","Certificate",5,"2018Q1"
"STU000780","Associate",9,"2019Q1"
"STU000781","Bachelor",15,"2020Q3"
"STU000785","Certificate",5,"2018Q1"
"STU000785","Associate",8,"2018Q4"
"STU000787","Certificate",7,"2018Q3"
"STU000789","Bachelor",16,"2020Q4"
"STU000792","Associate",15,"2020Q3"
"STU000792","Bachelor",17,"2021Q1"
"STU000796","Certificate",5,"2018Q1"
"STU000796","Associate",10,"2019Q2"
"STU000798","Associate",21,"2022Q1"
"STU000800","Bachelor",16,"2020Q4"
"STU000801","Bachelor",14,"2020Q2"
"STU000804","Bachelor",7,"2018Q3"
"STU000811","Bachelor",8,"2018Q4"
"STU000812","Bachelor",17,"2021Q1"
"STU000815","Bachelor",16,"2020Q4"
"STU000816","Bachelor",27,"2023Q3"
"STU000821","Associate",9,"2019Q1"
"STU000822","Bachelor",18,"2021Q2"
"STU000824","Associate",9,"2019Q1"
"STU000827","Certificate",6,"2018Q2"
"STU000829","Associate",8,"2018Q4"
"STU000830","Bachelor",22,"2022Q2"
"STU000832","Bachelor",16,"2020Q4"
"STU000835","Bachelor",19,"2021Q3"
"STU000836","Bachelor",8,"2018Q4"
"STU000840","Bachelor",16,"2020Q4"
"STU000841","Bachelor",28,"2023Q4"
"STU000843","Certificate",7,"2018Q3"
"STU000843","Associate",11,"2019Q3"
"STU000846","Associate",13,"2020Q1"
"STU000849","Associate",9,"2019Q1"
"STU000850","Bachelor",16,"2020Q4"
"STU000852","Bachelor",16,"2020Q4"
"STU000859","Bachelor",27,"2023Q3"
"STU000861","Certificate",7,"2018Q3"
"STU000861","Associate",11,"2019Q3"
"STU000869","Associate",8,"2018Q4"
"STU000887","Associate",9,"2019Q1"
"STU000887","Bachelor",19,"2021Q3"
"STU000889","Certificate",5,"2018Q1"
"STU000889","Associate",9,"2019Q1"
"STU000894","Certificate",6,"2018Q2"
"STU000895","Associate",7,"2018Q3"
"STU000897","Associate",8,"2018Q4"
"STU000897","Bachelor",20,"2021Q4"
"STU000900","Bachelor",15,"2020Q3"
"STU000902","Bachelor",18,"2021Q2"
"STU000904","Bachelor",16,"2020Q4"
"STU000905","Associate",9,"2019Q1"
"STU000905","Bachelor",20,"2021Q4"
"STU000908","Bachelor",26,"2023Q2"
"STU000913","Associate",3,"2017Q3"
"STU000914","Bachelor",22,"2022Q2"
"STU000918","Bachelor",11,"2019Q3"
"STU000920","Associate",20,"2021Q4"
"STU000921","Certificate",6,"2018Q2"
"STU000921","Associate",9,"2019Q1"
"STU000925","Bachelor",27,"2023Q3"
"STU000926","Associate",10,"2019Q2"
"STU000927","Certificate",6,"2018Q2"
"STU000929","Associate",2,"2017Q2"
"STU000932","Bachelor",25,"2023Q1"
"STU000937","Bachelor",27,"2023Q3"
"STU000938","Associate",9,"2019Q1"
"STU000939","Associate",8,"2018Q4"
"STU000939","Bachelor",18,"2021Q2"
"STU000940","Bachelor",17,"2021Q1"
"STU000941","Bachelor",20,"2021Q4"
"STU000943","Bachelor",25,"2023Q1"
"STU000945","Bachelor",11,"2019Q3"
"STU000946","Certificate",6,"2018Q2"
"STU000946","Associate",10,"2019Q2"
"STU000947","Bachelor",23,"2022Q3"
"STU000950","Bachelor",16,"2020Q4"
"STU000952","Associate",11,"2019Q3"
"STU000954","Bachelor",16,"2020Q4"
"STU000959","Bachelor",16,"2020Q4"
"STU000961","Bachelor",18,"2021Q2"
"STU000962","Associate",18,"2021Q2"
"STU000964","Bachelor",13,"2020Q1"
"STU000965","Associate",7,"2018Q3"
"STU000967","Bachelor",26,"2023Q2"
"STU000968","Bachelor",17,"2021Q1"
"STU000970","Certificate",5,"2018Q1"
"STU000970","Associate",8,"2018Q4"
"STU000971","Bachelor",7,"2018Q3"
"STU000978","Associate",15,"2020Q3"
"STU000978","Bachelor",19,"2021Q3"
"STU000980","Bachelor",15,"2020Q3"
"STU000983","Bachelor",28,"2023Q4"
"STU000985","Associate",8,"2018Q4"
"STU000988","Associate",20,"2021Q4"
"STU000988","Bachelor",19,"2021Q3"
"STU000990","Certificate",7,"2018Q3"
"STU000991","Bachelor",24,"2022Q4"
"STU000993","Bachelor",17,"2021Q1"
"STU000996","Certificate",5,"2018Q1"
"STU000996","Associate",9,"2019Q1"
"STU000997","Bachelor",15,"2020Q3"
"STU000998","Bachelor",23,"2022Q3"
"STU000999","Bachelor",29,NA
"STU001001","Bachelor",17,"2021Q1"
"STU001006","Associate",3,"2017Q3"
"STU001009","Bachelor",18,"2021Q2"
"STU001010","Certificate",6,"2018Q2"
"STU001011","Bachelor",16,"2020Q4"
"STU001014","Bachelor",25,"2023Q1"
"STU001017","Certificate",5,"2018Q1"
"STU001018","Bachelor",22,"2022Q2"
"STU001020","Associate",7,"2018Q3"
"STU001020","Bachelor",18,"2021Q2"
"STU001026","Bachelor",28,"2023Q4"
"STU001028","Associate",2,"2017Q2"
"STU001029","Bachelor",16,"2020Q4"
"STU001030","Associate",9,"2019Q1"
"STU001031","Bachelor",27,"2023Q3"
"STU001034","Associate",7,"2018Q3"
"STU001034","Bachelor",16,"2020Q4"
"STU001036","Bachelor",17,"2021Q1"
"STU001041","Bachelor",23,"2022Q3"
"STU001049","Bachelor",15,"2020Q3"
"STU001051","Bachelor",7,"2018Q3"
"STU001052","Bachelor",20,"2021Q4"
"STU001055","Associate",2,"2017Q2"
"STU001056","Associate",19,"2021Q3"
"STU001056","Bachelor",18,"2021Q2"
"STU001060","Associate",7,"2018Q3"
"STU001066","Associate",7,"2018Q3"
"STU001069","Bachelor",10,"2019Q2"
"STU001075","Bachelor",18,"2021Q2"
"STU001076","Bachelor",8,"2018Q4"
"STU001078","Bachelor",16,"2020Q4"
"STU001081","Certificate",6,"2018Q2"
"STU001082","Bachelor",25,"2023Q1"
"STU001088","Bachelor",16,"2020Q4"
"STU001091","Bachelor",17,"2021Q1"
"STU001092","Bachelor",17,"2021Q1"
"STU001094","Certificate",5,"2018Q1"
"STU001105","Associate",9,"2019Q1"
"STU001107","Associate",9,"2019Q1"
"STU001107","Bachelor",21,"2022Q1"
"STU001115","Bachelor",20,"2021Q4"
"STU001117","Associate",9,"2019Q1"
"STU001119","Bachelor",16,"2020Q4"
"STU001123","Bachelor",28,"2023Q4"
"STU001124","Bachelor",24,"2022Q4"
"STU001125","Associate",3,"2017Q3"
"STU001126","Certificate",4,"2017Q4"
"STU001130","Bachelor",11,"2019Q3"
"STU001131","Bachelor",15,"2020Q3"
"STU001134","Bachelor",20,"2021Q4"
"STU001136","Associate",9,"2019Q1"
"STU001141","Certificate",7,"2018Q3"
"STU001142","Certificate",4,"2017Q4"
"STU001142","Associate",8,"2018Q4"
"STU001151","Bachelor",18,"2021Q2"
"STU001154","Bachelor",17,"2021Q1"
"STU001157","Bachelor",14,"2020Q2"
"STU001159","Bachelor",15,"2020Q3"
"STU001160","Bachelor",7,"2018Q3"
"STU001162","Associate",9,"2019Q1"
"STU001162","Bachelor",21,"2022Q1"
"STU001163","Associate",21,"2022Q1"
"STU001165","Bachelor",23,"2022Q3"
"STU001171","Bachelor",24,"2022Q4"
"STU001172","Bachelor",29,NA
"STU001175","Bachelor",9,"2019Q1"
"STU001176","Certificate",6,"2018Q2"
"STU001177","Bachelor",15,"2020Q3"
"STU001179","Bachelor",16,"2020Q4"
"STU001181","Associate",4,"2017Q4"
"STU001182","Bachelor",16,"2020Q4"
"STU001184","Bachelor",20,"2021Q4"
"STU001186","Associate",9,"2019Q1"
"STU001187","Associate",3,"2017Q3"
"STU001196","Bachelor",15,"2020Q3"
"STU001201","Certificate",7,"2018Q3"
"STU001204","Certificate",6,"2018Q2"
"STU001206","Bachelor",16,"2020Q4"
"STU001208","Bachelor",16,"2020Q4"
"STU001209","Bachelor",26,"2023Q2"
"STU001211","Associate",8,"2018Q4"
"STU001214","Bachelor",8,"2018Q4"
"STU001215","Associate",20,"2021Q4"
"STU001216","Bachelor",15,"2020Q3"
"STU001219","Bachelor",25,"2023Q1"
"STU001222","Bachelor",16,"2020Q4"
"STU001226","Associate",2,"2017Q2"
"STU001228","Bachelor",11,"2019Q3"
"STU001232","Bachelor",22,"2022Q2"
"STU001237","Bachelor",17,"2021Q1"
"STU001238","Bachelor",22,"2022Q2"
"STU001240","Bachelor",27,"2023Q3"
"STU001241","Certificate",5,"2018Q1"
"STU001242","Certificate",6,"2018Q2"
"STU001248","Certificate",6,"2018Q2"
"STU001248","Associate",10,"2019Q2"
"STU001250","Associate",2,"2017Q2"
"STU001253","Bachelor",15,"2020Q3"
"STU001259","Associate",17,"2021Q1"
"STU001259","Bachelor",20,"2021Q4"
"STU001261","Associate",4,"2017Q4"
"STU001268","Bachelor",26,"2023Q2"
"STU001269","Bachelor",28,"2023Q4"
"STU001273","Bachelor",11,"2019Q3"
"STU001276","Bachelor",28,"2023Q4"
"STU001280","Certificate",4,"2017Q4"
"STU001281","Bachelor",10,"2019Q2"
"STU001283","Bachelor",16,"2020Q4"
"STU001287","Associate",7,"2018Q3"
"STU001289","Certificate",5,"2018Q1"
"STU001289","Associate",9,"2019Q1"
"STU001291","Bachelor",15,"2020Q3"
"STU001292","Certificate",6,"2018Q2"
"STU001301","Associate",9,"2019Q1"
"STU001301","Bachelor",21,"2022Q1"
"STU001303","Bachelor",10,"2019Q2"
"STU001312","Bachelor",16,"2020Q4"
"STU001314","Bachelor",18,"2021Q2"
"STU001315","Bachelor",7,"2018Q3"
"STU001320","Bachelor",24,"2022Q4"
"STU001321","Associate",8,"2018Q4"
"STU001322","Bachelor",18,"2021Q2"
"STU001323","Associate",10,"2019Q2"
"STU001327","Associate",2,"2017Q2"
"STU001328","Certificate",5,"2018Q1"
"STU001328","Associate",9,"2019Q1"
"STU001329","Bachelor",20,"2021Q4"
"STU001333","Associate",7,"2018Q3"
"STU001334","Bachelor",15,"2020Q3"
"STU001336","Associate",7,"2018Q3"
"STU001339","Certificate",5,"2018Q1"
"STU001339","Associate",10,"2019Q2"
"STU001340","Bachelor",16,"2020Q4"
"STU001341","Bachelor",17,"2021Q1"
"STU001346","Associate",9,"2019Q1"
"STU001346","Bachelor",22,"2022Q2"
"STU001347","Bachelor",29,NA
"STU001349","Bachelor",19,"2021Q3"
"STU001351","Associate",2,"2017Q2"
"STU001354","Associate",10,"2019Q2"
"STU001356","Associate",8,"2018Q4"
"STU001358","Bachelor",15,"2020Q3"
"STU001360","Certificate",5,"2018Q1"
"STU001365","Bachelor",25,"2023Q1"
"STU001368","Associate",9,"2019Q1"
"STU001370","Associate",7,"2018Q3"
"STU001372","Certificate",6,"2018Q2"
"STU001374","Certificate",5,"2018Q1"
"STU001374","Associate",9,"2019Q1"
"STU001379","Associate",7,"2018Q3"
"STU001384","Certificate",6,"2018Q2"
"STU001387","Associate",9,"2019Q1"
"STU001393","Certificate",4,"2017Q4"
"STU001394","Bachelor",20,"2021Q4"
"STU001396","Associate",2,"2017Q2"
"STU001397","Associate",9,"2019Q1"
"STU001403","Associate",8,"2018Q4"
"STU001404","Certificate",5,"2018Q1"
"STU001404","Associate",8,"2018Q4"
"STU001405","Associate",19,"2021Q3"
"STU001408","Associate",2,"2017Q2"
"STU001414","Associate",8,"2018Q4"
"STU001415","Certificate",4,"2017Q4"
"STU001417","Bachelor",23,"2022Q3"
"STU001420","Bachelor",14,"2020Q2"
"STU001423","Certificate",4,"2017Q4"
"STU001424","Certificate",7,"2018Q3"
"STU001432","Certificate",5,"2018Q1"
"STU001436","Bachelor",26,"2023Q2"
"STU001438","Bachelor",15,"2020Q3"
"STU001440","Bachelor",17,"2021Q1"
"STU001442","Associate",21,"2022Q1"
"STU001448","Associate",9,"2019Q1"
"STU001452","Certificate",7,"2018Q3"
"STU001452","Associate",11,"2019Q3"
"STU001453","Associate",9,"2019Q1"
"STU001454","Bachelor",26,"2023Q2"
"STU001458","Bachelor",21,"2022Q1"
"STU001459","Associate",2,"2017Q2"
"STU001460","Associate",9,"2019Q1"
"STU001461","Bachelor",15,"2020Q3"
"STU001462","Bachelor",16,"2020Q4"
"STU001463","Associate",8,"2018Q4"
"STU001464","Bachelor",17,"2021Q1"
"STU001465","Bachelor",15,"2020Q3"
"STU001469","Bachelor",9,"2019Q1"
"STU001474","Certificate",7,"2018Q3"
"STU001475","Bachelor",17,"2021Q1"
"STU001493","Bachelor",26,"2023Q2"
"STU001494","Bachelor",17,"2021Q1"
"STU001499","Associate",15,"2020Q3"
"STU001505","Associate",16,"2020Q4"
"STU001506","Bachelor",20,"2021Q4"
"STU001507","Associate",3,"2017Q3"
"STU001513","Bachelor",14,"2020Q2"
"STU001514","Associate",9,"2019Q1"
"STU001514","Bachelor",20,"2021Q4"
"STU001517","Bachelor",17,"2021Q1"
"STU001519","Bachelor",27,"2023Q3"
"STU001520","Bachelor",25,"2023Q1"
"STU001527","Bachelor",29,NA
"STU001531","Bachelor",19,"2021Q3"
"STU001535","Bachelor",15,"2020Q3"
"STU001538","Bachelor",17,"2021Q1"
"STU001542","Bachelor",21,"2022Q1"
"STU001543","Bachelor",15,"2020Q3"
"STU001544","Associate",14,"2020Q2"
"STU001545","Certificate",5,"2018Q1"
"STU001547","Bachelor",27,"2023Q3"
"STU001551","Certificate",6,"2018Q2"
"STU001552","Certificate",6,"2018Q2"
"STU001555","Bachelor",16,"2020Q4"
"STU001561","Bachelor",20,"2021Q4"
"STU001563","Bachelor",15,"2020Q3"
"STU001566","Certificate",6,"2018Q2"
"STU001571","Certificate",6,"2018Q2"
"STU001571","Associate",10,"2019Q2"
"STU001576","Bachelor",15,"2020Q3"
"STU001580","Bachelor",27,"2023Q3"
"STU001583","Certificate",7,"2018Q3"
"STU001586","Bachelor",28,"2023Q4"
"STU001587","Associate",9,"2019Q1"
"STU001589","Associate",4,"2017Q4"
"STU001590","Bachelor",27,"2023Q3"
"STU001593","Associate",16,"2020Q4"
"STU001593","Bachelor",20,"2021Q4"
"STU001594","Associate",7,"2018Q3"
"STU001596","Associate",17,"2021Q1"
"STU001597","Bachelor",15,"2020Q3"
"STU001602","Bachelor",15,"2020Q3"
"STU001603","Bachelor",15,"2020Q3"
"STU001606","Associate",8,"2018Q4"
"STU001615","Associate",21,"2022Q1"
"STU001617","Associate",19,"2021Q3"
"STU001618","Bachelor",20,"2021Q4"
