"student_id","quarter_number","calendar_quarter","quarterly_wages","employed"
"STU000005",11,"2019Q3",NA,0
"STU000005",12,"2019Q4",NA,0
"STU000005",13,"2020Q1",NA,0
"STU000005",14,"2020Q2",NA,0
"STU000005",15,"2020Q3",NA,0
"STU000005",16,"2020Q4",NA,0
"STU000005",17,"2021Q1",11115,1
"STU000005",18,"2021Q2",10877,1
"STU000005",19,"2021Q3",14333,1
"STU000005",20,"2021Q4",9595,1
"STU000005",21,"2022Q1",10300,1
"STU000005",22,"2022Q2",10352,1
"STU000005",23,"2022Q3",9940,1
"STU000005",24,"2022Q4",11751,1
"STU000005",25,"2023Q1",NA,0
"STU000005",26,"2023Q2",NA,0
"STU000005",27,"2023Q3",10490,1
"STU000005",28,"2023Q4",13424,1
"STU000006",1,"2017Q1",NA,0
"STU000006",2,"2017Q2",NA,0
"STU000006",3,"2017Q3",NA,0
"STU000006",4,"2017Q4",NA,0
"STU000006",5,"2018Q1",NA,0
"STU000006",6,"2018Q2",NA,0
"STU000006",7,"2018Q3",NA,0
"STU000006",8,"2018Q4",NA,0
"STU000006",9,"2019Q1",NA,0
"STU000006",10,"2019Q2",9588,1
"STU000006",11,"2019Q3",NA,0
"STU000006",12,"2019Q4",NA,0
"STU000006",13,"2020Q1",NA,0
"STU000006",14,"2020Q2",NA,0
"STU000006",15,"2020Q3",NA,0
"STU000006",16,"2020Q4",5292,1
"STU000006",17,"2021Q1",12186,1
"STU000006",18,"2021Q2",NA,0
"STU000006",19,"2021Q3",NA,0
"STU000006",20,"2021Q4",NA,0
"STU000006",21,"2022Q1",31250,1
"STU000006",22,"2022Q2",10894,1
"STU000006",23,"2022Q3",21363,1
"STU000006",24,"2022Q4",17841,1
"STU000006",25,"2023Q1",16771,1
"STU000006",26,"2023Q2",19355,1
"STU000006",27,"2023Q3",NA,0
"STU000006",28,"2023Q4",NA,0
"STU000007",1,"2017Q1",12095,1
"STU000007",2,"2017Q2",22198,1
"STU000007",3,"2017Q3",NA,0
"STU000007",4,"2017Q4",NA,0
"STU000007",5,"2018Q1",NA,0
"STU000007",6,"2018Q2",11366,1
"STU000007",7,"2018Q3",12051,1
"STU000007",8,"2018Q4",14190,1
"STU000007",9,"2019Q1",NA,0
"STU000007",10,"2019Q2",NA,0
"STU000007",11,"2019Q3",NA,0
"STU000007",12,"2019Q4",NA,0
"STU000007",13,"2020Q1",NA,0
"STU000007",14,"2020Q2",NA,0
"STU000007",15,"2020Q3",10915,1
"STU000007",16,"2020Q4",15362,1
"STU000007",17,"2021Q1",12106,1
"STU000007",18,"2021Q2",8252,1
"STU000007",19,"2021Q3",NA,0
"STU000007",20,"2021Q4",NA,0
"STU000007",21,"2022Q1",NA,0
"STU000007",22,"2022Q2",NA,0
"STU000007",23,"2022Q3",NA,0
"STU000007",24,"2022Q4",NA,0
"STU000007",25,"2023Q1",21979,1
"STU000007",26,"2023Q2",NA,0
"STU000007",27,"2023Q3",NA,0
"STU000007",28,"2023Q4",10351,1
"STU000008",1,"2017Q1",NA,0
"STU000008",2,"2017Q2",NA,0
"STU000008",3,"2017Q3",NA,0
"STU000008",4,"2017Q4",NA,0
"STU000008",5,"2018Q1",NA,0
"STU000008",6,"2018Q2",NA,0
"STU000008",7,"2018Q3",NA,0
"STU000008",8,"2018Q4",NA,0
"STU000008",9,"2019Q1",NA,0
"STU000008",10,"2019Q2",NA,0
"STU000008",11,"2019Q3",10223,1
"STU000008",12,"2019Q4",13461,1
"STU000008",13,"2020Q1",16130,1
"STU000008",14,"2020Q2",8672,1
"STU000008",15,"2020Q3",12392,1
"STU000008",16,"2020Q4",12743,1
"STU000008",17,"2021Q1",36145,1
"STU000008",18,"2021Q2",19423,1
"STU000008",19,"2021Q3",24132,1
"STU000008",20,"2021Q4",18630,1
"STU000008",21,"2022Q1",14743,1
"STU000008",22,"2022Q2",NA,0
"STU000008",23,"2022Q3",23268,1
"STU000008",24,"2022Q4",21298,1
"STU000008",25,"2023Q1",20449,1
"STU000008",26,"2023Q2",21094,1
"STU000008",27,"2023Q3",15010,1
"STU000008",28,"2023Q4",27739,1
"STU000009",1,"2017Q1",9534,1
"STU000009",2,"2017Q2",6941,1
"STU000009",3,"2017Q3",7486,1
"STU000009",4,"2017Q4",7245,1
"STU000009",5,"2018Q1",7199,1
"STU000009",6,"2018Q2",4519,1
"STU000009",7,"2018Q3",7866,1
"STU000009",8,"2018Q4",4534,1
"STU000009",9,"2019Q1",4685,1
"STU000009",10,"2019Q2",7274,1
"STU000009",11,"2019Q3",7137,1
"STU000009",12,"2019Q4",4280,1
"STU000009",13,"2020Q1",6862,1
"STU000009",14,"2020Q2",4401,1
"STU000009",15,"2020Q3",NA,0
"STU000009",16,"2020Q4",NA,0
"STU000009",17,"2021Q1",7889,1
"STU000009",18,"2021Q2",NA,0
"STU000009",19,"2021Q3",10730,1
"STU000009",20,"2021Q4",NA,0
"STU000009",21,"2022Q1",NA,0
"STU000009",22,"2022Q2",NA,0
"STU000009",23,"2022Q3",6908,1
"STU000009",24,"2022Q4",NA,0
"STU000009",25,"2023Q1",NA,0
"STU000009",26,"2023Q2",NA,0
"STU000009",27,"2023Q3",10616,1
"STU000009",28,"2023Q4",11927,1
"STU000010",1,"2017Q1",NA,0
"STU000010",2,"2017Q2",NA,0
"STU000010",3,"2017Q3",NA,0
"STU000010",4,"2017Q4",NA,0
"STU000010",5,"2018Q1",NA,0
"STU000010",6,"2018Q2",NA,0
"STU000010",7,"2018Q3",NA,0
"STU000010",8,"2018Q4",NA,0
"STU000010",9,"2019Q1",NA,0
"STU000010",10,"2019Q2",NA,0
"STU000010",11,"2019Q3",NA,0
"STU000010",12,"2019Q4",NA,0
"STU000010",13,"2020Q1",NA,0
"STU000010",14,"2020Q2",NA,0
"STU000010",15,"2020Q3",NA,0
"STU000010",16,"2020Q4",NA,0
"STU000010",17,"2021Q1",NA,0
"STU000010",18,"2021Q2",NA,0
"STU000010",19,"2021Q3",NA,0
"STU000010",20,"2021Q4",NA,0
"STU000010",21,"2022Q1",NA,0
"STU000010",22,"2022Q2",NA,0
"STU000010",23,"2022Q3",NA,0
"STU000010",24,"2022Q4",NA,0
"STU000010",25,"2023Q1",NA,0
"STU000010",26,"2023Q2",18792,1
"STU000010",27,"2023Q3",19945,1
"STU000010",28,"2023Q4",21050,1
"STU000011",1,"2017Q1",9982,1
"STU000011",2,"2017Q2",6605,1
"STU000011",3,"2017Q3",NA,0
"STU000011",4,"2017Q4",NA,0
"STU000011",5,"2018Q1",NA,0
"STU000011",6,"2018Q2",NA,0
"STU000011",7,"2018Q3",10945,1
"STU000011",8,"2018Q4",14961,1
"STU000011",9,"2019Q1",9210,1
"STU000011",10,"2019Q2",13313,1
"STU000011",11,"2019Q3",5396,1
"STU000011",12,"2019Q4",9469,1
"STU000011",13,"2020Q1",7409,1
"STU000011",14,"2020Q2",6147,1
"STU000011",15,"2020Q3",NA,0
"STU000011",16,"2020Q4",12262,1
"STU000011",17,"2021Q1",7475,1
"STU000011",18,"2021Q2",15280,1
"STU000011",19,"2021Q3",NA,0
"STU000011",20,"2021Q4",11019,1
"STU000011",21,"2022Q1",10098,1
"STU000011",22,"2022Q2",12922,1
"STU000011",23,"2022Q3",11354,1
"STU000011",24,"2022Q4",11627,1
"STU000011",25,"2023Q1",NA,0
"STU000011",26,"2023Q2",NA,0
"STU000011",27,"2023Q3",NA,0
"STU000011",28,"2023Q4",NA,0
"STU000012",1,"2017Q1",NA,0
"STU000012",2,"2017Q2",13762,1
"STU000012",3,"2017Q3",7243,1
"STU000012",4,"2017Q4",NA,0
"STU000012",5,"2018Q1",5011,1
"STU000012",6,"2018Q2",NA,0
"STU000012",7,"2018Q3",5241,1
"STU000012",8,"2018Q4",8061,1
"STU000012",9,"2019Q1",5030,1
"STU000012",10,"2019Q2",NA,0
"STU000012",11,"2019Q3",NA,0
"STU000012",12,"2019Q4",NA,0
"STU000012",13,"2020Q1",NA,0
"STU000012",14,"2020Q2",NA,0
"STU000012",15,"2020Q3",NA,0
"STU000012",16,"2020Q4",NA,0
"STU000012",17,"2021Q1",NA,0
"STU000012",18,"2021Q2",8519,1
"STU000012",19,"2021Q3",14838,1
"STU000012",20,"2021Q4",9127,1
"STU000012",21,"2022Q1",9593,1
"STU000012",22,"2022Q2",13059,1
"STU000012",23,"2022Q3",15462,1
"STU000012",24,"2022Q4",13607,1
"STU000012",25,"2023Q1",NA,0
"STU000012",26,"2023Q2",NA,0
"STU000012",27,"2023Q3",NA,0
"STU000012",28,"2023Q4",9965,1
"STU000013",1,"2017Q1",5507,1
"STU000013",2,"2017Q2",NA,0
"STU000013",3,"2017Q3",NA,0
"STU000013",4,"2017Q4",NA,0
"STU000013",5,"2018Q1",NA,0
"STU000013",6,"2018Q2",8759,1
"STU000013",7,"2018Q3",12572,1
"STU000013",8,"2018Q4",NA,0
"STU000013",9,"2019Q1",6569,1
"STU000013",10,"2019Q2",8247,1
"STU000013",11,"2019Q3",3896,1
"STU000013",12,"2019Q4",5711,1
"STU000013",13,"2020Q1",5937,1
"STU000013",14,"2020Q2",NA,0
"STU000013",15,"2020Q3",10498,1
"STU000013",16,"2020Q4",9780,1
"STU000013",17,"2021Q1",NA,0
"STU000013",18,"2021Q2",12035,1
"STU000013",19,"2021Q3",12759,1
"STU000013",20,"2021Q4",10329,1
"STU000013",21,"2022Q1",13512,1
"STU000013",22,"2022Q2",9707,1
"STU000013",23,"2022Q3",18593,1
"STU000013",24,"2022Q4",10927,1
"STU000013",25,"2023Q1",10138,1
"STU000013",26,"2023Q2",NA,0
"STU000013",27,"2023Q3",11551,1
"STU000013",28,"2023Q4",15562,1
"STU000014",1,"2017Q1",NA,0
"STU000014",2,"2017Q2",NA,0
"STU000014",3,"2017Q3",NA,0
"STU000014",4,"2017Q4",NA,0
"STU000014",5,"2018Q1",NA,0
"STU000014",6,"2018Q2",NA,0
"STU000014",7,"2018Q3",NA,0
"STU000014",8,"2018Q4",NA,0
"STU000014",9,"2019Q1",NA,0
"STU000014",10,"2019Q2",NA,0
"STU000014",11,"2019Q3",NA,0
"STU000014",12,"2019Q4",NA,0
"STU000014",13,"2020Q1",NA,0
"STU000014",14,"2020Q2",NA,0
"STU000014",15,"2020Q3",NA,0
"STU000014",16,"2020Q4",NA,0
"STU000014",17,"2021Q1",NA,0
"STU000014",18,"2021Q2",NA,0
"STU000014",19,"2021Q3",NA,0
"STU000014",20,"2021Q4",NA,0
"STU000014",21,"2022Q1",25253,1
"STU000014",22,"2022Q2",15746,1
"STU000014",23,"2022Q3",15551,1
"STU000014",24,"2022Q4",20275,1
"STU000014",25,"2023Q1",28079,1
"STU000014",26,"2023Q2",NA,0
"STU000014",27,"2023Q3",26415,1
"STU000014",28,"2023Q4",15365,1
"STU000015",1,"2017Q1",NA,0
"STU000015",2,"2017Q2",NA,0
"STU000015",3,"2017Q3",NA,0
"STU000015",4,"2017Q4",NA,0
"STU000015",5,"2018Q1",NA,0
"STU000015",6,"2018Q2",NA,0
"STU000015",7,"2018Q3",NA,0
"STU000015",8,"2018Q4",NA,0
"STU000015",9,"2019Q1",NA,0
"STU000015",10,"2019Q2",NA,0
"STU000015",11,"2019Q3",NA,0
"STU000015",12,"2019Q4",NA,0
"STU000015",13,"2020Q1",NA,0
"STU000015",14,"2020Q2",NA,0
"STU000015",15,"2020Q3",NA,0
"STU000015",16,"2020Q4",NA,0
"STU000015",17,"2021Q1",NA,0
"STU000015",18,"2021Q2",NA,0
"STU000015",19,"2021Q3",NA,0
"STU000015",20,"2021Q4",NA,0
"STU000015",21,"2022Q1",NA,0
"STU000015",22,"2022Q2",NA,0
"STU000015",23,"2022Q3",NA,0
"STU000015",24,"2022Q4",NA,0
"STU000015",25,"2023Q1",NA,0
"STU000015",26,"2023Q2",NA,0
"STU000015",27,"2023Q3",NA,0
"STU000015",28,"2023Q4",NA,0
"STU000016",1,"2017Q1",8403,1
"STU000016",2,"2017Q2",14493,1
"STU000016",3,"2017Q3",15941,1
"STU000016",4,"2017Q4",12967,1
"STU000016",5,"2018Q1",5687,1
"STU000016",6,"2018Q2",9274,1
"STU000016",7,"2018Q3",NA,0
"STU000016",8,"2018Q4",NA,0
"STU000016",9,"2019Q1",8398,1
"STU000016",10,"2019Q2",14678,1
"STU000016",11,"2019Q3",NA,0
"STU000016",12,"2019Q4",NA,0
"STU000016",13,"2020Q1",NA,0
"STU000016",14,"2020Q2",NA,0
"STU000016",15,"2020Q3",NA,0
"STU000016",16,"2020Q4",NA,0
"STU000016",17,"2021Q1",10362,1
"STU000016",18,"2021Q2",15112,1
"STU000016",19,"2021Q3",9248,1
"STU000016",20,"2021Q4",12732,1
"STU000016",21,"2022Q1",17909,1
"STU000016",22,"2022Q2",9906,1
"STU000016",23,"2022Q3",10208,1
"STU000016",24,"2022Q4",13917,1
"STU000016",25,"2023Q1",15685,1
"STU000016",26,"2023Q2",NA,0
"STU000016",27,"2023Q3",10040,1
"STU000016",28,"2023Q4",11983,1
"STU000017",1,"2017Q1",7485,1
"STU000017",2,"2017Q2",7982,1
"STU000017",3,"2017Q3",8696,1
"STU000017",4,"2017Q4",4841,1
"STU000017",5,"2018Q1",9113,1
"STU000017",6,"2018Q2",NA,0
"STU000017",7,"2018Q3",NA,0
"STU000017",8,"2018Q4",10120,1
"STU000017",9,"2019Q1",13409,1
"STU000017",10,"2019Q2",23404,1
"STU000017",11,"2019Q3",10351,1
"STU000017",12,"2019Q4",25577,1
"STU000017",13,"2020Q1",15625,1
"STU000017",14,"2020Q2",13741,1
"STU000017",15,"2020Q3",14536,1
"STU000017",16,"2020Q4",8352,1
"STU000017",17,"2021Q1",7903,1
"STU000017",18,"2021Q2",14371,1
"STU000017",19,"2021Q3",11017,1
"STU000017",20,"2021Q4",17126,1
"STU000017",21,"2022Q1",13133,1
"STU000017",22,"2022Q2",20372,1
"STU000017",23,"2022Q3",14411,1
"STU000017",24,"2022Q4",11119,1
"STU000017",25,"2023Q1",NA,0
"STU000017",26,"2023Q2",20613,1
"STU000017",27,"2023Q3",13146,1
"STU000017",28,"2023Q4",16897,1
"STU000018",1,"2017Q1",NA,0
"STU000018",2,"2017Q2",NA,0
"STU000018",3,"2017Q3",NA,0
"STU000018",4,"2017Q4",NA,0
"STU000018",5,"2018Q1",NA,0
"STU000018",6,"2018Q2",NA,0
"STU000018",7,"2018Q3",NA,0
"STU000018",8,"2018Q4",NA,0
"STU000018",9,"2019Q1",NA,0
"STU000018",10,"2019Q2",9059,1
"STU000018",11,"2019Q3",8127,1
"STU000018",12,"2019Q4",6763,1
"STU000018",13,"2020Q1",5777,1
"STU000018",14,"2020Q2",18035,1
"STU000018",15,"2020Q3",12861,1
"STU000018",16,"2020Q4",4737,1
"STU000018",17,"2021Q1",NA,0
"STU000018",18,"2021Q2",NA,0
"STU000018",19,"2021Q3",3145,1
"STU000018",20,"2021Q4",6980,1
"STU000018",21,"2022Q1",NA,0
"STU000018",22,"2022Q2",NA,0
"STU000018",23,"2022Q3",19908,1
"STU000018",24,"2022Q4",10363,1
"STU000018",25,"2023Q1",21809,1
"STU000018",26,"2023Q2",19771,1
"STU000018",27,"2023Q3",12965,1
"STU000018",28,"2023Q4",14343,1
"STU000019",1,"2017Q1",8304,1
"STU000019",2,"2017Q2",13531,1
"STU000019",3,"2017Q3",4598,1
"STU000019",4,"2017Q4",3229,1
"STU000019",5,"2018Q1",6202,1
"STU000019",6,"2018Q2",9871,1
"STU000019",7,"2018Q3",NA,0
"STU000019",8,"2018Q4",NA,0
"STU000019",9,"2019Q1",NA,0
"STU000019",10,"2019Q2",11388,1
"STU000019",11,"2019Q3",12134,1
"STU000019",12,"2019Q4",7808,1
"STU000019",13,"2020Q1",6854,1
"STU000019",14,"2020Q2",9555,1
"STU000019",15,"2020Q3",8030,1
"STU000019",16,"2020Q4",12081,1
"STU000019",17,"2021Q1",11602,1
"STU000019",18,"2021Q2",NA,0
"STU000019",19,"2021Q3",NA,0
"STU000019",20,"2021Q4",NA,0
"STU000019",21,"2022Q1",8873,1
"STU000019",22,"2022Q2",8165,1
"STU000019",23,"2022Q3",10239,1
"STU000019",24,"2022Q4",15264,1
"STU000019",25,"2023Q1",NA,0
"STU000019",26,"2023Q2",NA,0
"STU000019",27,"2023Q3",NA,0
"STU000019",28,"2023Q4",NA,0
"STU000020",1,"2017Q1",NA,0
"STU000020",2,"2017Q2",NA,0
"STU000020",3,"2017Q3",NA,0
"STU000020",4,"2017Q4",NA,0
"STU000020",5,"2018Q1",NA,0
"STU000020",6,"2018Q2",7762,1
"STU000020",7,"2018Q3",NA,0
"STU000020",8,"2018Q4",5230,1
"STU000020",9,"2019Q1",6506,1
"STU000020",10,"2019Q2",7497,1
"STU000020",11,"2019Q3",4088,1
"STU000020",12,"2019Q4",6806,1
"STU000020",13,"2020Q1",9580,1
"STU000020",14,"2020Q2",NA,0
"STU000020",15,"2020Q3",NA,0
"STU000020",16,"2020Q4",NA,0
"STU000020",17,"2021Q1",NA,0
"STU000020",18,"2021Q2",NA,0
"STU000020",19,"2021Q3",NA,0
"STU000020",20,"2021Q4",NA,0
"STU000020",21,"2022Q1",8711,1
"STU000020",22,"2022Q2",7983,1
"STU000020",23,"2022Q3",8469,1
"STU000020",24,"2022Q4",NA,0
"STU000020",25,"2023Q1",12150,1
"STU000020",26,"2023Q2",13771,1
"STU000020",27,"2023Q3",NA,0
"STU000020",28,"2023Q4",13009,1
"STU000021",1,"2017Q1",6257,1
"STU000021",2,"2017Q2",NA,0
"STU000021",3,"2017Q3",NA,0
"STU000021",4,"2017Q4",8953,1
"STU000021",5,"2018Q1",11576,1
"STU000021",6,"2018Q2",7690,1
"STU000021",7,"2018Q3",8234,1
"STU000021",8,"2018Q4",NA,0
"STU000021",9,"2019Q1",9972,1
"STU000021",10,"2019Q2",13332,1
"STU000021",11,"2019Q3",12019,1
"STU000021",12,"2019Q4",12086,1
"STU000021",13,"2020Q1",NA,0
"STU000021",14,"2020Q2",12204,1
"STU000021",15,"2020Q3",13341,1
"STU000021",16,"2020Q4",7750,1
"STU000021",17,"2021Q1",14380,1
"STU000021",18,"2021Q2",16463,1
"STU000021",19,"2021Q3",7342,1
"STU000021",20,"2021Q4",10366,1
"STU000021",21,"2022Q1",7459,1
"STU000021",22,"2022Q2",12153,1
"STU000021",23,"2022Q3",11621,1
"STU000021",24,"2022Q4",8608,1
"STU000021",25,"2023Q1",6955,1
"STU000021",26,"2023Q2",NA,0
"STU000021",27,"2023Q3",NA,0
"STU000021",28,"2023Q4",18441,1
"STU000022",1,"2017Q1",8628,1
"STU000022",2,"2017Q2",6832,1
"STU000022",3,"2017Q3",5470,1
"STU000022",4,"2017Q4",8367,1
"STU000022",5,"2018Q1",8793,1
"STU000022",6,"2018Q2",6389,1
"STU000022",7,"2018Q3",7777,1
"STU000022",8,"2018Q4",8940,1
"STU000022",9,"2019Q1",10665,1
"STU000022",10,"2019Q2",7498,1
"STU000022",11,"2019Q3",10190,1
"STU000022",12,"2019Q4",12177,1
"STU000022",13,"2020Q1",6857,1
"STU000022",14,"2020Q2",9815,1
"STU000022",15,"2020Q3",12813,1
"STU000022",16,"2020Q4",15036,1
"STU000022",17,"2021Q1",7816,1
"STU000022",18,"2021Q2",7663,1
"STU000022",19,"2021Q3",9293,1
"STU000022",20,"2021Q4",8466,1
"STU000022",21,"2022Q1",9405,1
"STU000022",22,"2022Q2",NA,0
"STU000022",23,"2022Q3",7659,1
"STU000022",24,"2022Q4",15161,1
"STU000022",25,"2023Q1",9636,1
"STU000022",26,"2023Q2",NA,0
"STU000022",27,"2023Q3",NA,0
"STU000022",28,"2023Q4",16167,1
"STU000023",1,"2017Q1",12272,1
"STU000023",2,"2017Q2",7856,1
"STU000023",3,"2017Q3",7185,1
"STU000023",4,"2017Q4",NA,0
"STU000023",5,"2018Q1",NA,0
"STU000023",6,"2018Q2",9855,1
"STU000023",7,"2018Q3",11422,1
"STU000023",8,"2018Q4",17478,1
"STU000023",9,"2019Q1",11872,1
"STU000023",10,"2019Q2",8344,1
"STU000023",11,"2019Q3",13714,1
"STU000023",12,"2019Q4",22999,1
"STU000023",13,"2020Q1",21306,1
"STU000023",14,"2020Q2",NA,0
"STU000023",15,"2020Q3",13985,1
"STU000023",16,"2020Q4",13763,1
"STU000023",17,"2021Q1",18368,1
"STU000023",18,"2021Q2",21595,1
"STU000023",19,"2021Q3",11513,1
"STU000023",20,"2021Q4",13405,1
"STU000023",21,"2022Q1",27368,1
"STU000023",22,"2022Q2",6767,1
"STU000023",23,"2022Q3",20626,1
"STU000023",24,"2022Q4",20549,1
"STU000023",25,"2023Q1",17885,1
"STU000023",26,"2023Q2",17510,1
"STU000023",27,"2023Q3",NA,0
"STU000023",28,"2023Q4",NA,0
"STU000024",1,"2017Q1",NA,0
"STU000024",2,"2017Q2",6466,1
"STU000024",3,"2017Q3",1944,1
"STU000024",4,"2017Q4",1871,1
"STU000024",5,"2018Q1",3080,1
"STU000024",6,"2018Q2",4711,1
"STU000024",7,"2018Q3",5674,1
"STU000024",8,"2018Q4",NA,0
"STU000024",9,"2019Q1",4067,1
"STU000024",10,"2019Q2",NA,0
"STU000024",11,"2019Q3",5526,1
"STU000024",12,"2019Q4",4205,1
"STU000024",13,"2020Q1",8270,1
"STU000024",14,"2020Q2",8071,1
"STU000024",15,"2020Q3",NA,0
"STU000024",16,"2020Q4",NA,0
"STU000024",17,"2021Q1",NA,0
"STU000024",18,"2021Q2",NA,0
"STU000024",19,"2021Q3",NA,0
"STU000024",20,"2021Q4",NA,0
"STU000024",21,"2022Q1",NA,0
"STU000024",22,"2022Q2",NA,0
"STU000024",23,"2022Q3",16147,1
"STU000024",24,"2022Q4",9300,1
"STU000024",25,"2023Q1",6706,1
"STU000024",26,"2023Q2",11366,1
"STU000024",27,"2023Q3",11154,1
"STU000024",28,"2023Q4",11090,1
"STU000025",1,"2017Q1",12012,1
"STU000025",2,"2017Q2",11928,1
"STU000025",3,"2017Q3",13129,1
"STU000025",4,"2017Q4",9221,1
"STU000025",5,"2018Q1",NA,0
"STU000025",6,"2018Q2",NA,0
"STU000025",7,"2018Q3",9433,1
"STU000025",8,"2018Q4",NA,0
"STU000025",9,"2019Q1",NA,0
"STU000025",10,"2019Q2",NA,0
"STU000025",11,"2019Q3",NA,0
"STU000025",12,"2019Q4",NA,0
"STU000025",13,"2020Q1",NA,0
"STU000025",14,"2020Q2",7090,1
"STU000025",15,"2020Q3",12578,1
"STU000025",16,"2020Q4",14877,1
"STU000025",17,"2021Q1",17843,1
"STU000025",18,"2021Q2",16809,1
"STU000025",19,"2021Q3",NA,0
"STU000025",20,"2021Q4",NA,0
"STU000025",21,"2022Q1",NA,0
"STU000025",22,"2022Q2",12058,1
"STU000025",23,"2022Q3",29798,1
"STU000025",24,"2022Q4",21595,1
