"student_id","wage_q1","wage_q2","wage_q3","wage_q4","wage_q5","wage_q6","wage_q7","wage_q8","wage_q9","wage_q10","wage_q11","wage_q12","wage_q13","wage_q14","wage_q15","wage_q16","wage_q17","wage_q18","wage_q19","wage_q20","wage_q21","wage_q22","wage_q23","wage_q24","wage_q25","wage_q26","wage_q27","wage_q28"
"STU000030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6067,12271,17152,15300,24283,24231,25997,NA,24058,17065,22880,27143,NA
"STU000031",4341,6603,7941,7062,10190,8622,10080,13520,NA,NA,NA,NA,NA,NA,NA,NA,NA,8235,16699,15439,15662,9777,9732,NA,NA,NA,10778,14073
"STU000032",11611,7759,NA,NA,6679,NA,NA,NA,NA,6557,11809,11666,NA,NA,NA,NA,12460,9788,10287,16890,NA,NA,8146,10768,11691,10324,NA,NA
"STU000033",NA,NA,NA,NA,NA,NA,NA,10817,19283,NA,NA,NA,NA,NA,19989,10814,10000,14296,NA,8996,16920,NA,NA,29758,NA,NA,NA,NA
"STU000034",NA,NA,NA,NA,8375,9554,8579,10615,7356,8319,NA,NA,NA,9114,8925,NA,NA,12196,NA,NA,NA,NA,NA,NA,NA,NA,11954,7869
"STU000035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20312,9059,NA,NA,NA,17635,8973,14017,11145,NA,NA,12841,13099,8890
"STU000037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10209,9890,19033,9245,8064,NA,10077,NA,NA
"STU000038",9228,9103,NA,8526,8854,6973,NA,NA,NA,13490,10629,9255,NA,NA,NA,15705,8112,NA,NA,NA,NA,NA,NA,NA,12607,NA,NA,17055
"STU000039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000040",6909,NA,NA,6519,9281,5284,8344,5537,6725,9934,9517,7563,7034,7989,11739,8258,10010,6143,9385,NA,NA,11831,10024,12974,9476,NA,NA,10277
"STU000041",8429,NA,NA,NA,5164,6475,12811,NA,NA,10972,8389,8209,3850,NA,NA,12921,13095,11072,24801,11208,NA,NA,NA,16277,14225,NA,7931,6161
"STU000042",13590,8687,9420,11163,NA,NA,9375,NA,NA,NA,15833,20248,NA,9456,21894,NA,NA,NA,20566,NA,NA,16603,NA,NA,26994,NA,NA,NA
"STU000043",NA,16652,11826,15092,NA,NA,9434,13592,9983,NA,NA,10939,7997,16261,10864,11707,NA,9630,13334,13240,13809,15080,10464,16937,13226,12795,17161,NA
"STU000044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5817,6106,NA,19632,7865,11717,6097,9589,NA,NA,12347,13135
"STU000045",6539,7797,6593,6526,4183,NA,NA,NA,NA,NA,NA,7872,14554,6725,4470,NA,NA,NA,NA,NA,NA,9335,16084,25530,NA,NA,19113,19674
"STU000046",10275,NA,6183,7832,8692,NA,6663,13816,15104,14189,9418,NA,NA,NA,NA,8096,16060,NA,NA,15444,16970,10556,9594,NA,18826,NA,NA,NA
"STU000047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000048",15140,10350,13875,6719,8479,4190,6727,7368,14352,10183,13993,8367,6558,8052,NA,8589,NA,6882,13698,6150,15550,15886,8818,17730,16772,33412,9941,NA
"STU000049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000050",8619,NA,NA,9771,13582,7065,7749,NA,NA,7974,7348,10210,NA,8151,13797,9885,13207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000051",NA,NA,NA,NA,6307,7789,NA,NA,12674,NA,NA,NA,6913,9825,10691,9246,NA,NA,9417,11024,11318,12165,NA,NA,13762,11516,13728,11405
"STU000052",NA,NA,7994,12656,NA,12764,NA,NA,NA,NA,NA,NA,7782,6042,NA,NA,NA,13328,24681,16301,8203,17277,NA,16328,20668,5897,26394,13896
"STU000053",10191,6530,10700,NA,NA,8703,14383,9620,15086,13145,13983,11259,12514,11060,7010,14442,9725,15745,15639,8246,18196,15996,10496,8257,12266,NA,11364,NA
"STU000054",5602,8966,NA,NA,NA,NA,NA,NA,NA,NA,NA,6413,6197,NA,NA,NA,NA,NA,NA,NA,10082,13991,16586,18776,16391,NA,19023,14617
"STU000055",8738,NA,NA,4717,10666,10606,8182,7064,22961,16929,7184,14948,8600,13490,9767,9274,9854,14871,6420,NA,NA,NA,NA,14769,13250,11625,12943,7425
"STU000056",NA,NA,NA,NA,NA,NA,NA,4210,NA,NA,NA,NA,NA,9085,7794,NA,NA,NA,NA,10354,9012,8647,10385,13823,9273,9984,NA,NA
"STU000057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6208,10622,NA,19323,23445,9567,12924,20335,7551,NA
"STU000059",14707,NA,NA,9767,8857,NA,NA,NA,NA,NA,16730,NA,NA,NA,NA,33978,35289,25654,17553,NA,NA,NA,NA,NA,NA,21437,NA,NA
"STU000060",6286,NA,NA,NA,7428,5888,6344,4015,4113,8422,10828,7813,8610,8347,8660,10714,9641,12306,6114,11171,6907,10408,6142,9154,7742,6631,6589,8240
"STU000061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14867,12416,11442,22476,20651,8964,14766,18637
"STU000062",NA,NA,NA,NA,15250,NA,12630,8358,7183,8901,8731,NA,NA,11503,NA,NA,9852,3594,NA,NA,NA,NA,8845,10952,8141,NA,NA,NA
"STU000063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17943,31160,27607,33996,NA,NA,NA,NA,NA
"STU000064",NA,NA,NA,7797,NA,8557,7534,NA,NA,NA,15335,11698,7244,5234,13904,NA,11615,11350,15482,11275,11205,14741,23171,18398,12678,18832,10076,16952
"STU000065",9453,7910,3591,5443,8590,5519,5767,4366,NA,NA,NA,12522,11169,12712,9363,17150,10412,18862,9090,13825,9569,15152,7787,16223,7249,11151,13315,9095
"STU000066",NA,NA,NA,NA,6241,7823,NA,NA,NA,NA,5169,8981,6696,12421,NA,14769,13012,10709,10224,10138,17254,14285,11063,11476,11087,12407,8487,NA
"STU000067",NA,NA,11138,9367,5876,12976,10417,8125,7509,10500,8879,8207,NA,NA,NA,NA,NA,NA,NA,11853,13009,NA,NA,NA,7930,12334,NA,NA
"STU000068",NA,NA,NA,NA,NA,NA,NA,NA,NA,5994,10555,8202,14009,9053,NA,NA,NA,13231,10429,48817,9092,11594,NA,NA,NA,12940,10678,10464
"STU000069",NA,NA,7161,7442,NA,NA,NA,NA,7942,10143,4953,NA,NA,6392,3891,9711,8282,6554,12100,8111,NA,NA,NA,NA,NA,10085,18762,11185
"STU000070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000071",NA,NA,NA,NA,4749,6563,8116,NA,7798,16093,NA,NA,12940,10292,9122,10692,20984,13472,14135,11027,14491,9574,14600,23041,17320,11748,9968,NA
"STU000072",9284,NA,6688,NA,11083,7573,19779,7837,10117,11538,NA,NA,NA,NA,NA,13588,NA,NA,NA,NA,NA,NA,11586,NA,22669,NA,NA,NA
"STU000073",11313,NA,4956,NA,NA,NA,NA,7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28997,7601,11643,NA,NA,NA,15170,10510,18608,19796
"STU000074",6792,10230,8471,9984,11841,13477,10636,NA,NA,16748,8729,13388,21980,NA,NA,8550,13989,6540,7020,6091,NA,NA,NA,NA,NA,NA,NA,NA
"STU000075",8867,NA,6588,9750,7491,5370,8433,10320,13677,12866,9837,21082,10432,11214,11620,NA,NA,NA,NA,14927,17764,16152,19781,20564,20724,21874,NA,NA
"STU000076",NA,NA,NA,NA,NA,9894,NA,NA,NA,7179,9394,12162,11981,16327,12791,9170,9799,NA,NA,24853,13682,23143,23721,17888,NA,NA,23225,16671
"STU000077",10203,13371,14439,17706,NA,NA,NA,NA,NA,17169,NA,NA,13714,NA,NA,NA,NA,NA,15621,15090,17407,18007,NA,NA,NA,NA,NA,NA
"STU000078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17102,9964,8916,21673,11872,NA,13838,11510,15615,15319,14989
"STU000079",NA,10344,12021,NA,NA,NA,NA,6282,13774,9388,14186,16024,13357,NA,NA,NA,NA,NA,NA,NA,NA,NA,20888,NA,NA,17212,19826,25133
"STU000080",NA,NA,NA,NA,17019,NA,NA,23087,21222,18095,NA,15895,NA,15984,19101,21376,19992,11108,20030,NA,10764,NA,NA,NA,NA,NA,NA,NA
"STU000081",5463,9917,NA,12090,6797,9137,18842,13175,4361,NA,12002,NA,10637,9372,NA,6541,7423,7488,8398,4080,15918,NA,NA,NA,NA,9872,NA,NA
"STU000082",5843,NA,14434,NA,NA,NA,NA,NA,NA,8760,9751,12868,NA,NA,NA,NA,NA,23193,NA,NA,NA,20172,NA,NA,NA,NA,NA,14588
"STU000083",8734,16581,22297,17273,NA,NA,17159,14921,10098,17044,11536,9019,NA,NA,NA,NA,10145,22497,9829,NA,NA,11639,12589,19320,17594,14872,18208,15085
"STU000084",5519,5728,6478,8405,11749,15451,5876,4471,4712,7561,9861,3783,5609,8701,19811,12302,NA,NA,15654,18145,16384,16517,19279,21880,23987,20255,10815,9633
"STU000085",8409,4941,3880,5569,4568,4448,9064,10013,NA,4646,7786,NA,NA,NA,NA,NA,6989,9833,NA,NA,NA,NA,NA,NA,NA,10036,14489,NA
"STU000086",6588,6422,16359,13139,11828,8332,NA,NA,NA,NA,NA,11574,12756,8569,7966,10868,18250,12232,15538,15748,10308,15337,17897,NA,NA,NA,NA,NA
"STU000087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27856,NA
"STU000088",5414,10016,12540,6296,NA,9637,10341,11095,NA,NA,NA,NA,NA,NA,11367,16510,9352,10762,NA,10748,10376,17382,10146,13363,12182,8229,10169,15395
"STU000089",NA,9775,10149,11760,11927,6384,NA,15298,9677,13498,NA,NA,NA,NA,13491,14960,9804,NA,NA,NA,12003,17033,14813,NA,NA,NA,NA,NA
"STU000090",9464,5368,8578,8702,NA,NA,NA,NA,9283,9940,NA,NA,6904,9172,7993,10552,10079,NA,NA,NA,NA,9665,12110,NA,10563,7653,NA,7813
"STU000091",9901,NA,8392,10071,5560,6936,10502,4202,7565,9720,5251,NA,NA,16729,NA,NA,10223,12524,NA,NA,NA,18409,11825,9634,12946,11048,13067,11755
"STU000092",NA,NA,NA,NA,7643,7652,27906,NA,15733,26503,13374,18933,17122,NA,NA,13563,19110,14808,16686,21836,16963,23355,NA,NA,23223,NA,NA,19031
"STU000093",NA,NA,NA,3426,4865,5562,7646,8581,4948,18063,11701,15617,9699,7449,14983,10402,13480,10310,15737,10694,NA,NA,9722,7463,9838,NA,NA,NA
"STU000094",11353,14473,8255,12534,16087,8865,NA,NA,NA,NA,NA,NA,NA,14819,12392,13320,11697,8961,9373,12973,NA,23429,NA,NA,18223,14673,10647,13106
"STU000095",NA,NA,NA,NA,8873,NA,5780,NA,NA,NA,NA,NA,8390,12845,12204,6692,10911,14370,16492,12442,9710,NA,NA,NA,NA,NA,NA,9812
"STU000096",2708,NA,NA,NA,NA,NA,NA,5532,6729,4289,5162,10341,6900,4313,12182,4935,NA,NA,11247,NA,NA,NA,6795,NA,NA,NA,NA,10289
"STU000097",8235,6085,NA,8485,NA,NA,NA,NA,5539,8496,9004,NA,10493,21469,19073,12091,15740,9413,10586,NA,18317,15097,8682,8453,16435,11513,13013,16316
"STU000098",NA,6905,5226,7611,8367,9461,13882,12482,14507,7450,NA,12437,12209,NA,NA,NA,8300,8024,12510,NA,NA,12147,13800,NA,8925,16543,NA,11248
"STU000099",8372,6791,5971,6918,7379,6857,NA,NA,NA,6969,11789,10100,11840,14113,13365,8710,10161,10378,13593,12359,11039,17542,12825,20517,16314,10287,NA,10640
"STU000100",8339,8073,8593,9862,13862,7918,NA,9173,7438,NA,NA,NA,NA,6866,10861,11068,12707,18646,8310,10268,13525,NA,5657,17996,10924,12481,8395,NA
"STU000101",NA,NA,NA,NA,NA,9761,4475,4598,5462,11279,NA,NA,4601,15152,13397,NA,12600,12411,14714,14820,20970,14445,9694,6851,8803,16379,NA,NA
"STU000102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16576,NA,NA,NA,9680
"STU000103",15790,12445,16388,NA,NA,NA,9812,8418,13783,12556,11076,NA,NA,NA,NA,NA,19442,13838,8547,21450,9628,NA,NA,NA,NA,NA,20979,13925
"STU000104",7553,6410,8994,5515,NA,NA,NA,NA,9721,16439,19277,19899,12811,17708,16035,NA,NA,10577,16355,16294,18661,22854,13417,10309,18979,26279,15144,18761
"STU000105",NA,11842,NA,8870,6704,12458,12420,6525,10611,10415,10084,NA,NA,NA,NA,NA,NA,10327,14526,15842,NA,NA,NA,10657,9776,9830,15689,NA
"STU000106",8598,NA,NA,NA,NA,NA,2576,3987,9333,6642,7761,8186,10626,6014,NA,NA,11834,NA,9771,NA,10003,10845,11746,9715,8445,14303,7592,NA
"STU000107",NA,NA,NA,NA,NA,NA,NA,9724,14371,10216,10980,17634,12344,8833,14204,13050,17793,24271,22604,22518,13422,23045,25153,30380,NA,18392,20872,26734
"STU000108",11091,11160,9698,7735,10475,11448,7253,NA,4869,18422,7971,6482,9624,8546,9226,14354,NA,NA,NA,17483,22323,21822,26832,17113,23157,18578,16463,28177
"STU000109",NA,NA,NA,NA,NA,10272,8578,NA,NA,11037,12328,18007,17461,25990,8783,16350,NA,18768,23189,25335,15695,24512,14697,23205,31287,19959,26441,26058
"STU000110",7781,9661,6536,10977,9211,16379,11816,NA,NA,NA,NA,17360,17425,16204,22931,NA,NA,17147,13629,NA,NA,NA,NA,16740,13857,18850,NA,NA
"STU000111",7564,7010,NA,NA,NA,9989,8764,6436,NA,NA,NA,NA,NA,NA,NA,6301,11546,NA,13238,12434,NA,NA,NA,NA,NA,NA,NA,9871
"STU000112",5855,8947,6143,11037,NA,NA,NA,NA,NA,18200,8607,11256,12781,9060,14819,11304,15379,10523,10448,21874,12463,NA,NA,NA,NA,24914,NA,NA
"STU000113",8052,8390,NA,NA,8049,5949,3288,NA,NA,5021,2784,NA,5476,3925,7594,5782,8110,8013,5463,6993,8559,9898,5485,10205,6057,7058,5875,13458
"STU000114",9786,9240,NA,NA,13164,8135,NA,NA,NA,18423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10990
"STU000115",8124,NA,NA,NA,NA,NA,NA,NA,NA,16605,13351,14045,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA,14291,30701,22169,17613,14562,NA
"STU000116",25919,NA,10398,12311,10087,11569,6226,6658,8014,12715,NA,11190,11494,9409,13836,12017,NA,NA,NA,NA,NA,NA,17294,19632,NA,18079,22244,22004
"STU000117",6201,5846,NA,NA,NA,NA,11089,13727,NA,NA,NA,NA,21259,14702,NA,NA,NA,NA,NA,NA,NA,18215,20364,17281,14262,NA,NA,15084
"STU000118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20663,10012,NA,NA,NA,10051,11276,17753,20153,8434
"STU000119",6701,NA,8659,10061,9859,NA,6724,8858,NA,NA,8525,8989,27885,21535,12611,13834,9466,15284,18074,21037,14485,7728,18414,17137,16865,NA,NA,NA
"STU000120",7120,13436,8021,NA,13810,9813,14628,6922,NA,NA,NA,NA,NA,17451,NA,13198,27915,41133,13783,NA,NA,NA,NA,NA,11946,16410,26654,NA
"STU000121",NA,NA,6014,3199,3749,6851,7525,9205,7891,NA,NA,NA,12366,6242,9336,6957,6905,10173,NA,14045,7343,5785,NA,NA,NA,NA,NA,15849
"STU000122",8148,4167,5116,NA,9980,7433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15371,17201,9271,NA,10406,NA,NA
"STU000123",NA,NA,NA,NA,NA,7254,9707,NA,10392,NA,NA,NA,NA,NA,9440,14020,13156,NA,NA,6499,NA,NA,NA,NA,NA,10282,12459,7110
"STU000124",NA,NA,NA,NA,NA,NA,NA,2965,2695,3339,NA,NA,6064,6586,4320,4071,3473,NA,NA,NA,NA,14516,7616,21241,9532,NA,11178,NA
"STU000125",5855,10644,NA,NA,NA,NA,7342,NA,NA,6800,NA,NA,NA,15396,5272,8014,8262,11859,7691,10895,10386,10886,7414,8390,10264,11538,19714,10304
"STU000126",3555,7300,NA,13905,6838,6752,11760,8451,17130,8087,8569,13799,9445,NA,NA,NA,NA,NA,NA,NA,NA,NA,12239,20503,15010,NA,NA,10949
"STU000127",5850,NA,5887,6653,NA,NA,7930,NA,9369,NA,NA,12270,8372,12152,13085,15073,9188,10840,NA,NA,NA,NA,NA,NA,8273,11468,11753,9825
"STU000128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STU000129",8711,15576,16451,16904,NA,NA,NA,NA,7050,NA,NA,NA,NA,17865,12292,12138,16898,NA,8007,7468,7409,11742,18972,12489,14125,22736,NA,NA
"STU000130",6520,17958,11811,8362,7807,10431,NA,NA,NA,NA,NA,NA,16244,11088,NA,NA,NA,NA,9783,10581,16505,14815,11096,16246,11846,11998,13842,NA
"STU000131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5441,9983,15712,15982,14830,10377,27361,9196,9881
"STU000132",11555,NA,NA,NA,10665,8837,8785,12972,NA,NA,NA,NA,8406,7779,15486,17177,7614,11624,7112,12697,11860,10250,8768,8173,14936,7437,13289,13815
"STU000133",11207,18189,13719,14868,12205,14071,12211,6389,13799,9440,10576,8853,13812,19718,9159,20221,15698,10403,17368,NA,NA,NA,NA,19146,14679,12767,13443,11749
"STU000134",10902,10414,NA,10923,8466,14308,12329,15279,NA,NA,NA,NA,NA,NA,8057,NA,12846,8502,13408,9822,17910,22785,NA,NA,16485,NA,NA,NA
"STU000135",4237,NA,NA,5849,NA,NA,NA,NA,NA,NA,NA,4806,13017,6380,9849,11325,5613,NA,NA,NA,NA,NA,8324,6891,9892,7004,7766,9299
"STU000136",8833,NA,NA,5782,7322,NA,NA,NA,NA,NA,6075,7598,13250,10762,NA,NA,12573,5770,7423,NA,10101,15248,12110,8521,14213,8293,20405,11004
"STU000137",NA,NA,NA,NA,10179,20279,NA,15884,11559,NA,17109,14283,NA,NA,NA,NA,NA,12905,21647,19136,22412,15592,15577,7905,13003,16370,17061,NA
"STU000138",9394,5999,10133,NA,7433,8448,9427,12190,17442,NA,17021,9854,NA,12135,NA,12766,19547,NA,12711,11286,10416,13081,8393,11878,17361,15051,10737,17744
"STU000139",15347,7224,8194,6633,NA,NA,8429,8907,9941,7765,13945,6747,26734,NA,16686,10802,12255,NA,NA,NA,NA,NA,10047,NA,NA,9873,13991,12877
"STU000140",NA,NA,NA,NA,NA,NA,NA,NA,11720,6432,NA,NA,NA,7052,6358,8757,NA,11235,14094,NA,NA,NA,NA,NA,NA,12070,13915,15208
"STU000141",5175,NA,NA,10570,7548,NA,NA,NA,NA,NA,NA,NA,NA,10952,NA,NA,10687,11151,13834,12355,9042,9340,NA,8160,NA,NA,NA,13579
"STU000142",8966,NA,12596,NA,10998,8213,NA,NA,11434,NA,8725,9764,7839,9513,12507,8353,11535,NA,7469,12966,6858,NA,10104,12588,13132,NA,NA,11250
"STU000143",8352,7400,NA,NA,NA,13366,21521,5673,10762,6575,9338,NA,NA,NA,10920,11931,11624,NA,12712,6165,13684,NA,NA,11056,16183,9644,11003,12786
"STU000144",9103,5407,NA,NA,NA,NA,4619,5446,NA,4489,4456,8979,NA,NA,NA,NA,NA,NA,NA,14364,11768,NA,NA,NA,12470,NA,15772,NA
"STU000145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10629,8094,13003,8764,9903
"STU000146",6527,7331,6355,9499,7140,6589,NA,9213,16707,13034,13465,NA,NA,NA,NA,NA,NA,NA,20144,15824,15625,NA,NA,NA,NA,25085,NA,NA
"STU000147",5106,7319,8854,10290,NA,NA,NA,NA,NA,NA,6899,7832,7599,7259,6925,7205,7737,11198,30880,NA,15929,9273,15338,14381,10111,6423,17824,25526
"STU000148",15423,NA,NA,6266,NA,5237,13324,12343,7033,NA,19815,10223,10841,9944,13075,NA,18980,13341,NA,NA,13048,NA,8464,14304,13890,9440,12004,16851
"STU000149",7617,11231,NA,NA,5179,NA,NA,NA,NA,4876,4159,4731,7136,16829,9103,13318,NA,NA,NA,NA,13134,11239,11644,NA,NA,12549,11682,6813
"STU000150",3613,6649,6161,6646,6668,5909,8573,9592,5428,10302,NA,12292,6481,4663,3635,7739,NA,NA,7472,NA,15457,5917,6705,12222,15400,10806,11438,14669
"STU000151",11899,7611,5977,7789,NA,NA,NA,7812,11164,13647,11925,9581,10581,8411,7663,6116,8415,NA,NA,NA,NA,8737,9183,11026,NA,NA,NA,12091
