"student_id","term_1","term_2","term_3","term_4","term_5","term_6","term_7","term_8","term_9","term_10","term_11","term_12","term_13","term_14","term_15","term_16","term_17","term_18","term_19","term_20","term_21","term_22","term_23","term_24","term_25","term_26","term_27","term_28"
"STU000043","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000044","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None"
"STU000045","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None"
"STU000046","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000047","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000048","None","CTC","CTC","4YR","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None"
"STU000049","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000050","CTC","CTC","CTC","CTC","None","CTC","CTC","CTC","4YR","4YR","CTC","4YR","None","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None"
"STU000051","None","None","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000052","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None"
"STU000053","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000054","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None","None"
"STU000055","None","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000056","CTC","CTC","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000057","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000058","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","CTC","4YR","None","None","None","None","None","None","None"
"STU000059","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000060","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000061","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000062","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","CTC","None","None","None","None","None","None","None","None","None","None"
"STU000063","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000064","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000065","None","CTC","CTC","None","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000066","None","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000067","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000068","4YR","4YR","4YR","4YR","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000069","None","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None"
"STU000070","CTC","CTC","4YR","4YR","None","CTC","CTC","4YR","4YR","4YR","4YR","None","4YR","None","4YR","4YR","None","None","4YR","None","None","None","None","None","None","None","None","None"
"STU000071","None","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000072","CTC","CTC","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000073","CTC","CTC","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None"
"STU000074","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000075","None","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000076","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","None","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None"
"STU000077","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000078","CTC","CTC","CTC","CTC","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000079","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000080","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000081","CTC","CTC","CTC","None","CTC","CTC","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None"
"STU000082","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000083","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000084","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000085","CTC","CTC","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","CTC","4YR","None","None","None","None","None","None","None","None","None","None"
"STU000086","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000087","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000088","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000089","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000090","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000091","None","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000092","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000093","None","None","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000094","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000095","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000096","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","4YR","CTC","None","None","None","None","None","None","None","None","None","None","None"
"STU000097","4YR","4YR","4YR","4YR","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000098","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000099","None","CTC","CTC","CTC","CTC","CTC","CTC","4YR","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000100","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000101","None","CTC","CTC","CTC","CTC","None","None","CTC","CTC","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000102","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000103","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000104","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000105","None","None","None","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000106","None","None","None","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000107","4YR","4YR","4YR","4YR","None","4YR","None","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000108","4YR","4YR","4YR","4YR","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000109","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000110","CTC","CTC","CTC","CTC","CTC","None","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000111","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None"
"STU000112","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000113","None","None","CTC","CTC","CTC","CTC","CTC","None","None","CTC","CTC","CTC","CTC","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000114","None","None","4YR","4YR","4YR","CTC","4YR","4YR","4YR","None","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000115","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000116","None","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000117","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000118","CTC","None","CTC","4YR","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000119","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000120","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000121","None","None","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000122","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000123","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000124","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None"
"STU000125","4YR","None","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","CTC","None","4YR","4YR","4YR","None","None","None","None","None"
"STU000126","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000127","None","CTC","CTC","CTC","4YR","CTC","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000128","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000129","None","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None"
"STU000130","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000131","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000132","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000133","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000134","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000135","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000136","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000137","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000138","None","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000139","None","None","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000140","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000141","CTC","CTC","None","None","None","CTC","CTC","CTC","4YR","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000142","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000143","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None"
"STU000144","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","CTC","CTC","None","None","None","None","None","None","None","None","None","None"
"STU000145","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000146","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000147","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000148","None","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000149","None","None","None","None","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000150","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None"
"STU000151","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000152","4YR","4YR","4YR","CTC","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","None"
"STU000153","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None"
"STU000154","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000155","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000156","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000157","None","None","CTC","CTC","CTC","CTC","CTC","CTC","None","None","None","CTC","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000158","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000159","CTC","CTC","CTC","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None"
"STU000160","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000161","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000162","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000163","None","None","None","None","4YR","None","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000164","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000165","4YR","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","CTC","4YR","4YR","4YR","None","None"
"STU000166","4YR","4YR","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000167","None","None","None","CTC","CTC","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000168","CTC","CTC","None","CTC","CTC","CTC","CTC","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None"
"STU000169","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000170","None","None","4YR","4YR","4YR","4YR","4YR","4YR","4YR","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"STU000171","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
